attitude,hospital,comment
5,复旦大学附属中山医院,对肺结节性质分析十分专业，为人热情亲切，有问必答，经验丰富，十分敬业，是一个可以托付的好医生。
3,复旦大学附属中山医院,急呼呼的，木有耐心
5,复旦大学附属中山医院,耐心细致，为病人着想，专业敬业
5,复旦大学附属中山医院,王医生看病比较仔细，也很热情，我们各项检查做了，开始担心肺上有什么问题，检查下来王医生说现在没发现什么，有待观察
5,复旦大学附属中山医院,金教授仁心仁德，处处为别人着想，经验丰富
5,复旦大学附属中山医院,直爽！敬业！专业！
5,复旦大学附属中山医院,看片子说没事
5,复旦大学附属中山医院,父亲在老家做的肺部ct，显示有纤维，家里人都很担心，特意来上海挂了朱医生的专家号，朱医生非常耐心，仔细给我们讲了ct，最后排除了我们的顾虑。感谢朱医生！
5,复旦大学附属中山医院,杨医生态度亲切，对病情判断迅速精准，且非常为患者着想，安排预约检查时间和复诊时间非常周到
4,复旦大学附属中山医院,带了之前的病历过去，医生大致看了下就做检查，医院床位一直等不到，现在病人身体浑身疼痛，病情加剧，打电话去住院部询问，直接没人接听的
1,复旦大学附属中山医院,不知道如何评价，好不容易挂了专家号，可能我们是最后一个，感觉没有耐心了，我们知道医生很累，但是也体谅我们大老远过来的，给看片子，说看不出来，就各种检查，再见！
5,复旦大学附属中山医院,非常务实，体恤患者。可以信赖他。
5,复旦大学附属中山医院,顾医生态度和蔼，我们看了3次就把咳嗽治愈了
5,复旦大学附属中山医院,李医生非常好，耐心经验丰富，非常感谢！
5,复旦大学附属中山医院,洪医生问诊很详细，很有耐心的为你讲解。
5,复旦大学附属中山医院,帮老妈挂的，医生的话让老妈很安心，包括后续指导用药，医生解答老妈的问题很耐心，感谢医生，辛苦了
5,复旦大学附属中山医院,仔细阅读他院片子，深入分析。
5,复旦大学附属中山医院,医生非常专业
5,复旦大学附属中山医院,3月份的时候轻微的咳嗽去小医院做CT检查发现肺部有结节有炎症，住院挂水一个星期无好转又去上一级医院看了好几个呼吸科的医生也是当普通的细菌感染治疗挂水9天，3月底复查炎症还是没有吸收变成多发结节，我害怕了不知道什么病，转身在上海瑞金医院检查出 [详细]
1,复旦大学附属中山医院,开的检查都做了，疾病原因说不上来，怎么治疗也说不上来，开了点药就打发了，让挂其他科，花费甚多
5,复旦大学附属中山医院,洪主任阅片专业，听诊精准，书写病历严谨，所开处理意见既不浪费又极负责，感谢！
4,复旦大学附属中山医院,没有改善。
5,复旦大学附属中山医院,服务态度很好，也十分专业和敬业。
5,复旦大学附属中山医院,顾医生仁心仁术，耐心细致，处处为患者着想
3,复旦大学附属中山医院,去就诊前，我把病情发展的情况，用药情况及其他病症都打印出来给医生，医生简单看了一下，没有太多的问询，认为是现在服用的高血压药物造成的咳嗽，建议换药，因病人有胃食道反流的病症，医生另外开了有关治胃的药和消炎的药，服用2周，咳嗽未见好转。
5,复旦大学附属中山医院,未痊愈，有改善，坚持治疗。
5,复旦大学附属中山医院,洪医生很好，病情询问的很仔细，也很会宽慰病人，开了检查报告，并给了便捷方法去复诊。她的号实在太难预约了。
5,复旦大学附属中山医院,洪医生经验丰富，十分敬业，对病人很耐心，非常感谢您！
5,复旦大学附属中山医院,难得这么有耐心专家
5,复旦大学附属中山医院,杨主任 很热情 看片子很仔细 感谢
5,复旦大学附属中山医院,有亲和力，慢性肺炎，随访。
5,复旦大学附属中山医院,非常好的医生
5,复旦大学附属中山医院,张主任经验丰富，对病人热情
5,复旦大学附属中山医院,我是武汉的，可以过去就诊吗
3,复旦大学附属中山医院,很匆忙，没有什么主动交流，就诊人单向发文，医生顾着很快写病史，开药。拍了一个半小时，看了几分钟。
5,复旦大学附属中山医院,很有耐心
5,复旦大学附属中山医院,李主任技术精湛，经验丰富，待人平和
1,复旦大学附属中山医院,就诊体验感非常最差！！！挂了3次号，每次300，一共光挂号就花了900块也没有完全的100%的告知我妈的病情！！我们拿检查报告进去给她看的时候，看了半天连病人的名字都混了！！真担心这样药会不会开混！！见了她3次，光挂号费就花了900块，（回 [详细]
5,复旦大学附属中山医院,顾医生对病人态度温和，有问必答，详细解释病症，非常专业。
1,复旦大学附属中山医院,挂号后，医生自己没法确诊（挂号300），还召集了一大堆医生做什么专业会诊，挂号600，本来是要做穿刺，后面不知道为什么做了肺境，结果又没达到病灶，不仅时间拖得久，而且没有提出针对性的诊断，一点帮助都没有，很不满意。
5,复旦大学附属中山医院,有亲和力，慢性肺炎，随访。
5,复旦大学附属中山医院,非常好的医生
5,复旦大学附属中山医院,张主任经验丰富，对病人热情
5,复旦大学附属中山医院,我是武汉的，可以过去就诊吗
3,复旦大学附属中山医院,很匆忙，没有什么主动交流，就诊人单向发文，医生顾着很快写病史，开药。拍了一个半小时，看了几分钟。
5,复旦大学附属中山医院,很有耐心
5,复旦大学附属中山医院,李主任技术精湛，经验丰富，待人平和
