,0
0,
1,"【片头】【纪录片.NHK.医疗前沿.超微观手术.Medical.Frontiers.2019】一名日本医生能将直径不足1毫米的血管或淋巴管缝合在一起。现年37岁的山本匠是一名超微观外科医生，已有一万多台此类微观手术的实战经验，能完成四肢重建手术以及治疗淋巴水肿，而这些在之前都是不可能完成的手术。重建手术帮助病患恢复了四肢的知觉，而癌症治疗后通常会出现的淋巴水肿也可以通过缝合极细小的淋巴管进行治疗。这一切得以成为现实要归功于由日本工人制作的0.03毫米粗细的手术针。
A站中文版.片头已发
此系列不再发布完整版视频
#纪录片# 纪录片 #微博纪录片联盟# #日本# 日本 #医疗# L猛犸君侯的微博视频 收起全文d"
2,"#医疗##中医#
以前的药上写着：
但愿世间无疾苦
宁使架上药生尘
如今却写着会员特价买五送一"
3,
4,"【十八年後的終極告白】精華 愛情係最好嘅治療
自己身體受嘅傷或者可以忍受，你愛嘅人受傷你可以忍受嗎？身體受傷，時間會治療一切，心靈受傷，時間可以治療一切嗎？或者阿一陳山聰同阿倩楊秀惠最唔可以忍受係對方受傷⋯
#十八年后的终极告白# #陈山聪# #杨秀惠# #爱情# #医疗# TVB
十八年後的終極告白｜星期一至五 9:30 PM｜翡翠台 LTVB官方微博的微博视频 收起全文d"
5,
6,"#医疗##老外羡慕中国先看病后给钱#
在中国，先看病后交费并不普遍，挂号、检查、拿药……时间和耐性被消耗于一次又一次排队中，即使网络支付省去不少排队的步骤，但“交钱才能做”给人心理带来的感觉并不好。不过，我所在的医疗系统强调服务和质量，先看病最后结算是常规，但代价是数倍于公立医院的价格 O中国医疗服务行业的真实状况如何？还需要做哪些改进？ 收起全文d"
7,测序仪、CT、呼吸机、这些医疗装备从某种意义上来说，就是呵护生命的使者，一旦当你需要的时候，他们可能就会化身为探测病毒的雷达，或者是抵御病毒的盾牌，或者是挽救生命的神器。从这个意义上说，我们更要发自肺腑地来祝愿我们中国的医疗装备产业能够有更快更好的发展。#对话##医疗##疫情#
8,
9,"浓情端午华图豪礼来，父爱如山粽享时光#端午节#
火速关注@华图教育 转发+@一位好友：
6月23日抽6人送祥和五芳粽子礼盒；
6月24日抽6人送枫桥夜泊精美折扇；
6月25日抽6人送图兔的随笔本，快快行动吧！
端午节专题：O网页链接 密卷专题：O网页链接
#2020省考# #教师招聘# #公务员考试# #事业单位# #军队文职# #医疗# 收起全文d"
10,"先祝各位“父亲”，父亲节快乐
我想我以后也会成为一位合格的父亲
【父亲｜不可不知的家庭支柱保障计划】
⬇️6张图带你看完为什么家庭支柱要配置保障

#父亲节##父亲节快乐##家庭##健康##香港保险##保险##重疾险##医疗#香港保险"
11,远离，谨慎对待。病从口入真是得注意。#抗疫行动# #北京疫情# #医疗# #食品安全# #食品#
12,
13,【新发地市场采样中 水产、豆制品局部售卖区域阳性样本较多！】6月19日下午，北京市疾控中心副主任庞星火通报疫情防控相关情况，在新发地市场环境采样中其综合交易大厅特别水产、豆制品局部售卖区域阳性样本较多，环境污染较重。庞星火建议市民妥善处理赴新发地市场所购的冰冻海鲜、豆制品等食物，不建议食用。要养成良好的卫生习惯，从权威渠道了解疫情信息，从自身做起，从每个家庭做起，自觉遵守北京市疫情防控各项要求，自觉配合实施全市各项防控管理措施。O网页链接 收起全文d
14,求问考医疗编刷题的app或者试卷#医疗# 2福州·五四北
15,
16,"风险最可怕的地方，恰恰是它无法预测，随时可能发生。

而重疾险的优势就在于，只要交过第一年保费，过了等待期，保障就已经开启，保险公司就得准备好保额待命，一旦客户罹患重疾并符合条款约定，就可以申请理赔。

万一在交完第一笔保费后就不幸出险，那就是用2.5万的保费撬动了100万甚至150万保险金——如果买的产品前N年出险会额外赔付50%基本保额。

我们也许没法很快赚到100万，但通过重疾险这个杠杆，一旦患上大病，就可以随时动用100万来救命。

#健康# #保险知识# #医疗# #重疾险# #保障# #理财# #科普# 收起全文d"
17,"💪活下去‼️
因多重器官衰竭徘徊于鬼门关前，使用叶克膜33天，如今康复出院A先生对医疗团队有满满的感激❤️ #医疗 #台湾 #台灣
👉O使用叶克膜33天、住院75天！ 新冠肺炎重症终出院"
18,"#投资##保险##健康##养老##医疗#
【保险百科】为什么买保险需要找专业的保险顾问，因为保险就像是一座冰山，您所看到的或许只是露出水面很小的一块，但我们看到的保险却是水面下巨大隐藏的部分！
专业的事情交给专业的人，放心[爱心]"
19,#医疗# 这是啥装置呢 L工业互联网科技的微博视频
20,
21,人类寿命未来会越来越延长，所以医药这一行业具备穿越牛熊的特质～ 但是买单个个股风险太大，想要获得稳定的收益呢，还是建议买医药etf下表是所有主要医药细分etf的近年来表现，创新药拔得头筹，建议优先关注，大家记得逢低定投哟，也欢迎大家转发哈#金融##投资##财经##股票##医疗# 2上海 收起全文d
22,"谁用谁安全，谁用谁健康，谁用谁知道！
#医疗##北京疫情##严防疫情反弹##防护面罩# 2北京 L温承宇先生的微博视频"
23,
24,"【片头】【纪录片.NHK.医疗前沿.全面精密体检.Medical.Frontiers.2019】日本有一套独特的预防保健系统，叫做“全面精密体检”。这套体检系统可以找到潜在的健康问题，尽早发现癌症等严重疾患。全面精密体检在外藉人士之间也备受欢迎，因为整套体检下来只需花费11万多日元。新型的全面精密体检帮助体检者提高健康意识，从而养成终身受益的良好生活习惯。而在本期健康生活小常识环节中，我们也将为您介绍有利于预防生活习惯病的豆腐食谱。
A站中文版.片头已发
此系列不再发布完整版视频
#纪录片# 纪录片 #微博纪录片联盟# #日本# 日本 #医疗# L猛犸君侯的微博视频 收起全文d"
25,"我坚持推荐e生保
只因为希望：在关键时刻，
每一个人都能很有底气说：
“请用最好的药，我有保险！”
能用""一餐饭""几百元解决的问题，为何要用""一套房”。要轻松筹呢？
#大病求助##医疗##保险##大病医保# 2重庆"
26,#中医##医疗##类风湿关节炎# 有对比才知道好的感觉。 2南宁
27,
28,【八成私募仓位过半 增持消费与医药】财联社6月17日讯，私募对6月份结构性行情的预期，在仓位上得到了充分体现。数据显示，截至5月末，持仓超过五成的私募占比超过80%，环比上升0.74个百分点。从调仓方向来看，4月份遭减持的食品饮料和医药行业，在5月备受青睐，成为私募持仓增幅最大的两个行业。多位业内人士表示，当前市场流动性继续保持合理充裕，后续应积极把握短期调整带来的行业和个股机会，消费和医药依然是今年的投资主线。#股票##遇见美好##消费##医疗# 收起全文d
29,忙了一天，各种手术都有，从腹腔镜，到电切镜，再到输尿管镜和显微镜，泌尿外科几乎所有的手术都要会做#医疗##医生# 2北京·北京大学人民医院
30,
